epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.02846,2.05288,3.32609,1.68707,0.01667,0.92857,0.07711,0.0156,2.69064,3.03885,1.89143,0,0,0
2,6.31982,1.90499,3.14362,1.70273,0.01679,0.92857,0.07856,0.01721,2.63562,3.04292,1.86478,1.63399e-05,1.63399e-05,1.63399e-05
3,9.73523,2.12659,3.25954,1.6985,0.01691,0.92857,0.08956,0.0202,2.54433,3.08942,1.8438,3.20197e-05,3.20197e-05,3.20197e-05
4,12.8742,2.05925,3.45898,1.75926,0.01679,0.92857,0.09661,0.02736,2.4724,3.06215,1.82064,4.70394e-05,4.70394e-05,4.70394e-05
5,15.995,1.99216,3.35526,1.83474,0.01621,0.92857,0.15027,0.03615,2.47789,3.10139,1.8982,6.13989e-05,6.13989e-05,6.13989e-05
6,18.9948,2.08385,3.34493,1.72953,0.0157,0.92857,0.35747,0.06563,2.49726,3.05608,1.85979,7.50984e-05,7.50984e-05,7.50984e-05
7,22.1098,1.69382,3.23504,1.46953,0.01741,1,0.52261,0.12025,2.47212,3.03143,1.85143,8.81376e-05,8.81376e-05,8.81376e-05
8,25.182,1.84895,3.09283,1.49753,0.0172,1,0.55289,0.13185,2.32169,3.02386,1.79818,0.000100517,0.000100517,0.000100517
9,28.2355,1.48876,2.92202,1.36726,0.01686,1,0.55979,0.14331,2.3275,3.00267,1.82309,0.000112236,0.000112236,0.000112236
10,31.3894,1.7633,2.89658,1.50699,0.01619,1,0.41892,0.13245,2.26307,3.02523,1.82049,0.000123295,0.000123295,0.000123295
11,34.6374,1.55908,2.72549,1.28923,0.01556,1,0.39546,0.14022,2.22024,2.99213,1.79474,0.000133693,0.000133693,0.000133693
12,37.8043,1.46807,2.63373,1.36881,0.01495,1,0.27723,0.10801,2.25766,3.00573,1.87115,0.000143432,0.000143432,0.000143432
13,40.9455,1.41077,2.5696,1.36286,0.01479,1,0.28848,0.10733,2.24421,3.02145,1.94576,0.00015251,0.00015251,0.00015251
14,44.2683,1.30176,2.47015,1.33372,0.01469,1,0.32172,0.12281,2.17426,2.968,1.88035,0.000160929,0.000160929,0.000160929
15,47.4432,1.21183,2.07693,1.1757,0.01453,1,0.34769,0.12614,2.21214,2.93349,1.89788,0.000168687,0.000168687,0.000168687
16,50.7738,1.45565,2.21102,1.31396,0.01447,1,0.35911,0.13933,2.22268,2.85733,1.85129,0.000175785,0.000175785,0.000175785
17,55.1956,1.40818,2.05627,1.26162,0.01987,0.75,0.33081,0.12096,2.19714,2.80366,1.84452,0.000182223,0.000182223,0.000182223
18,58.3738,1.44117,1.78853,1.17004,0.01987,0.75,0.33081,0.12096,2.19714,2.80366,1.84452,0.000188001,0.000188001,0.000188001
19,61.7281,1.1676,1.79727,1.17465,1,0.12842,0.34563,0.11804,2.22297,2.71273,1.8245,0.000193119,0.000193119,0.000193119
20,65.1724,1.41555,1.62076,1.37055,1,0.12842,0.34563,0.11804,2.22297,2.71273,1.8245,0.000197576,0.000197576,0.000197576
21,68.4305,1.61657,1.95369,1.43533,1,0.13942,0.37406,0.13118,2.2783,2.58903,1.8246,0.000201374,0.000201374,0.000201374
22,71.6064,1.37528,1.78539,1.24918,1,0.13942,0.37406,0.13118,2.2783,2.58903,1.8246,0.000204511,0.000204511,0.000204511
23,74.6969,1.30148,1.45774,1.25568,1,0.25725,0.3928,0.15121,2.27922,2.49093,1.88553,0.000206988,0.000206988,0.000206988
24,77.7979,1.11418,1.37769,1.10956,1,0.25725,0.3928,0.15121,2.27922,2.49093,1.88553,0.000208805,0.000208805,0.000208805
25,81.0902,1.242,1.39753,1.16864,1,0.28213,0.40008,0.17038,2.28398,2.39635,1.9079,0.000209962,0.000209962,0.000209962
26,84.3512,1.38266,1.63388,1.26035,1,0.28213,0.40008,0.17038,2.28398,2.39635,1.9079,0.000210459,0.000210459,0.000210459
27,87.552,1.43856,1.64711,1.27194,0.99006,0.35714,0.40687,0.17594,2.33799,2.35168,2.00967,0.000210295,0.000210295,0.000210295
28,90.7402,1.51891,1.61165,1.29743,0.99006,0.35714,0.40687,0.17594,2.33799,2.35168,2.00967,0.000209472,0.000209472,0.000209472
29,94.2325,1.15585,1.45312,1.12691,0.95472,0.42857,0.48631,0.18802,2.36891,2.21999,2.03039,0.000207988,0.000207988,0.000207988
30,97.9586,1.4154,1.69348,1.22621,0.95472,0.42857,0.48631,0.18802,2.36891,2.21999,2.03039,0.000205844,0.000205844,0.000205844
31,101.375,1.16511,1.34595,1.13452,0.93836,0.42857,0.4875,0.17804,2.37214,2.19559,2.03478,0.000203041,0.000203041,0.000203041
32,104.691,1.25874,1.24706,1.12115,0.93836,0.42857,0.4875,0.17804,2.37214,2.19559,2.03478,0.000199577,0.000199577,0.000199577
33,108.331,1.1138,1.13913,1.11643,0.95447,0.42857,0.48715,0.16583,2.36688,2.20582,2.03492,0.000195452,0.000195452,0.000195452
34,111.794,1.13199,1.21061,1.1487,0.95447,0.42857,0.48715,0.16583,2.36688,2.20582,2.03492,0.000190668,0.000190668,0.000190668
35,115.226,1.09747,1.25106,1.09474,1,0.4203,0.487,0.16561,2.36632,2.2417,2.02657,0.000185224,0.000185224,0.000185224
36,118.649,1.18675,1.24323,1.18054,1,0.4203,0.487,0.16561,2.36632,2.2417,2.02657,0.000179119,0.000179119,0.000179119
37,122.317,1.07142,1.10978,1.06695,0.9559,0.35714,0.41175,0.14551,2.36113,2.267,2.04709,0.000172354,0.000172354,0.000172354
38,126.167,1.11523,1.24432,1.16849,0.9559,0.35714,0.41175,0.14551,2.36113,2.267,2.04709,0.00016493,0.00016493,0.00016493
39,129.469,1.06608,1.08857,1.05872,0.96089,0.35714,0.40689,0.14301,2.42238,2.25339,2.1007,0.000156845,0.000156845,0.000156845
40,133.126,1.1206,1.27178,1.16682,0.96089,0.35714,0.40689,0.14301,2.42238,2.25339,2.1007,0.0001481,0.0001481,0.0001481
41,137.156,0.94114,1.5022,1.01999,0.97053,0.35714,0.40785,0.14699,2.42448,2.30371,2.11556,0.000138694,0.000138694,0.000138694
42,140.716,0.94807,1.23115,1.00041,0.97053,0.35714,0.40785,0.14699,2.42448,2.30371,2.11556,0.000128629,0.000128629,0.000128629
43,144.329,1.1683,1.57436,1.2047,0.85399,0.28571,0.32317,0.13343,2.40155,2.26947,2.06369,0.000117904,0.000117904,0.000117904
44,147.503,1.09157,1.59421,1.02888,0.85399,0.28571,0.32317,0.13343,2.40155,2.26947,2.06369,0.000106518,0.000106518,0.000106518
45,151.058,0.80395,1.27588,0.97033,0.86332,0.28571,0.3191,0.14649,2.40996,2.26518,2.05666,9.44722e-05,9.44722e-05,9.44722e-05
46,154.616,1.10346,1.70461,1.11169,0.86332,0.28571,0.3191,0.14649,2.40996,2.26518,2.05666,8.17663e-05,8.17663e-05,8.17663e-05
47,157.911,0.80965,1.18865,1.00356,0.91207,0.33742,0.3663,0.16831,2.34126,2.21394,2.0183,6.84003e-05,6.84003e-05,6.84003e-05
48,161.471,0.7546,1.25121,0.95448,0.91207,0.33742,0.3663,0.16831,2.34126,2.21394,2.0183,5.43742e-05,5.43742e-05,5.43742e-05
49,164.778,0.84491,1.338,1.05444,1,0.4105,0.52946,0.19651,2.3378,2.20618,2.02234,3.96879e-05,3.96879e-05,3.96879e-05
50,167.936,1.15753,1.38604,1.07736,1,0.4105,0.52946,0.19651,2.3378,2.20618,2.02234,2.43415e-05,2.43415e-05,2.43415e-05
